YEAR,Bias-Motivation,Race,Gender,Age,Number,Precinct
2020,ANTI-ASIAN,BLACK,FEMALE,15,27,044
2020,ANTI-ASIAN,BLACK,FEMALE,15,28,044
2020,ANTI-ASIAN,BLACK,FEMALE,15,29,044
2020,ANTI-ASIAN,BLACK,FEMALE,18,31,046
2020,ANTI-ASIAN,BLACK,FEMALE,19,21,028
2020,ANTI-ASIAN,BLACK,FEMALE,50,5,007
2020,ANTI-ASIAN,BLACK,MALE,19,54,078
2020,ANTI-ASIAN,BLACK,MALE,38,3,006
2020,ANTI-ASIAN,BLACK,MALE,53,58,084
2020,ANTI-ASIAN,BLACK,MALE,53,59,084
2020,ANTI-ASIAN,BLACK,MALE,60,46,066
2020,ANTI-ASIAN,BLACK HISPANIC,MALE,38,1,005
2020,ANTI-ASIAN,BLACK HISPANIC,MALE,39,24,040
2020,ANTI-ASIAN,WHITE,FEMALE,33,14,013
2020,ANTI-ASIAN,WHITE,MALE,50,11,010
2020,ANTI-ASIAN,WHITE HISPANIC,MALE,13,18,023
2020,ANTI-ASIAN,WHITE HISPANIC,MALE,13,19,023
2020,ANTI-ASIAN,WHITE HISPANIC,MALE,44,82,112
2020,ANTI-ASIAN,WHITE HISPANIC,MALE,50,83,112
2020,ANTI-ASIAN,WHITE HISPANIC,FEMALE,70,89,120
2020,ANTI-HINDU,ASIAN / PACIFIC ISLANDER,MALE,47,80,110
2020,ANTI-BLACK,ASIAN / PACIFIC ISLANDER,MALE,34,20,023
2020,ANTI-BLACK,ASIAN / PACIFIC ISLANDER,MALE,54,73,101
2020,ANTI-JEWISH,ASIAN / PACIFIC ISLANDER,MALE,53,17,019
2020,ANTI-JEWISH,ASIAN / PACIFIC ISLANDER,MALE,25,39,060
2020,ANTI-JEWISH,ASIAN / PACIFIC ISLANDER,MALE,15,67,090
2020,ANTI-FEMALE,BLACK,MALE,50,35,060
2020,ANTI-FEMALE,BLACK,MALE,50,36,060
2020,ANTI-FEMALE,BLACK,MALE,50,37,060
2020,ANTI-FEMALE,BLACK,MALE,50,38,060
2020,ANTI-GENDER NON CONFORMING,BLACK,MALE,34,48,067
2020,ANTI-ISLAMIC(MUSLIM),BLACK,FEMALE,42,87,114
2020,ANTI-JEWISH,BLACK,MALE,55,15,018
2020,ANTI-JEWISH,BLACK,MALE,57,51,071
2020,ANTI-JEWISH,BLACK,MALE,17,56,081
2020,ANTI-JEWISH,BLACK,FEMALE,57,60,084
